Time,Condition,Tre,Te,Tsk,Met,Eva
240,A-FIG.7,37.6933333333333,37.6186666666666,34.2054794520547,,
0,B-FIG.1,37.3990476190476,37.027619047619,32.5696969696969,,
5,B-FIG.1,37.4228571428571,37.025238095238,32.8363636363636,,
10,B-FIG.1,37.4133333333333,37.0061904761904,33.1878787878787,,
15,B-FIG.1,37.3966666666666,36.9942857142857,33.3696969696969,,
20,B-FIG.1,37.38,36.9752380952381,33.490909090909,,
25,B-FIG.1,37.3657142857142,36.9609523809523,33.5393939393939,,
30,B-FIG.1,37.3419047619047,36.9609523809523,33.6363636363636,,
35,B-FIG.1,37.3252380952381,36.9609523809523,33.6727272727272,,
40,B-FIG.1,37.3038095238095,36.9442857142857,33.7818181818181,,
45,B-FIG.1,37.2823809523809,36.9323809523809,33.7575757575757,,
50,B-FIG.1,37.2609523809523,36.9228571428571,33.830303030303,,
55,B-FIG.1,37.2419047619047,36.9204761904761,33.830303030303,,
60,B-FIG.1,37.23,36.9204761904761,33.7939393939394,,
65,B-FIG.1,37.2085714285714,36.8919047619047,32.6666666666666,,
70,B-FIG.1,37.1990476190476,36.8823809523809,32.3757575757575,,
75,B-FIG.1,37.2038095238095,36.8847619047619,32.2424242424242,,
80,B-FIG.1,37.2038095238095,36.8704761904761,32.060606060606,,
85,B-FIG.1,37.1847619047619,36.8561904761904,31.9151515151515,,
90,B-FIG.1,37.18,36.8323809523809,31.8181818181818,,
95,B-FIG.1,37.1633333333333,36.827619047619,31.6969696969696,,
100,B-FIG.1,37.1585714285714,36.8133333333333,31.6,,
105,B-FIG.1,37.1395238095238,36.7942857142857,31.5030303030303,,
110,B-FIG.1,37.1157142857142,36.775238095238,31.430303030303,,
115,B-FIG.1,37.1085714285714,36.7490476190476,31.3212121212121,,
120,B-FIG.1,37.0895238095238,36.7395238095238,31.2484848484848,,
125,B-FIG.1,37.0609523809523,,31.2,,
130,B-FIG.1,37.0371428571428,36.7038095238095,31.090909090909,,
135,B-FIG.1,37.0109523809523,36.6680952380952,30.9939393939393,,
140,B-FIG.1,36.9942857142857,36.6680952380952,30.8848484848484,,
145,B-FIG.1,36.98,36.6538095238095,30.8484848484848,,
150,B-FIG.1,36.9657142857142,36.6442857142857,30.7636363636363,,
155,B-FIG.1,36.9323809523809,36.6347619047619,30.7393939393939,,
160,B-FIG.1,36.927619047619,36.6109523809523,30.6424242424242,,
165,B-FIG.1,36.9061904761904,36.6038095238095,30.5454545454545,,
170,B-FIG.1,36.8942857142857,36.5942857142857,30.5454545454545,,
175,B-FIG.1,36.8680952380952,36.5919047619047,30.4848484848484,,
180,B-FIG.1,36.8514285714285,36.5871428571428,30.4,,
185,B-FIG.1,36.8347619047619,36.5085714285714,31.1272727272727,,
190,B-FIG.1,36.8133333333333,36.475238095238,31.5151515151515,,
195,B-FIG.1,36.775238095238,36.4942857142857,31.7333333333333,,
200,B-FIG.1,36.7442857142857,36.5038095238095,31.8545454545454,,
205,B-FIG.1,36.7133333333333,36.5038095238095,32.0727272727272,,
210,B-FIG.1,36.7014285714285,36.5038095238095,32.2666666666666,,
215,B-FIG.1,36.6847619047619,36.5085714285714,32.3393939393939,,
220,B-FIG.1,36.675238095238,36.4966666666666,32.4242424242424,,
225,B-FIG.1,36.6466666666666,36.4847619047619,32.4969696969697,,
230,B-FIG.1,36.6395238095238,36.4847619047619,32.5939393939393,,
235,B-FIG.1,36.627619047619,36.48,32.6181818181818,,
240,B-FIG.1,36.625238095238,36.4895238095238,32.690909090909,,
0,B-FIG.2,37.2278145695364,36.8943585970076,32.7129337539432,,
5,B-FIG.2,37.2543046357615,36.9077722590139,33.1482649842271,,
10,B-FIG.2,37.2708609271523,36.8790286975717,33.4132492113564,,
15,B-FIG.2,37.2443708609271,36.8751962227127,33.6593059936908,,
20,B-FIG.2,37.2278145695364,36.8751962227127,33.7728706624605,,
25,B-FIG.2,37.2211920529801,36.8771124601422,33.8675078864353,,
30,B-FIG.2,37.2079470198675,36.8751962227127,33.96214511041,,
35,B-FIG.2,37.1947019867549,36.8713637478538,34.0189274447949,,
40,B-FIG.2,37.1913907284768,36.8541176109884,34.0946372239747,,
45,B-FIG.2,37.1682119205298,36.8560338484179,34.0378548895899,,
50,B-FIG.2,37.1649006622516,36.8502851361295,34.0757097791798,,
55,B-FIG.2,37.1350993377483,36.8483688987,34.0946372239747,,
60,B-FIG.2,37.1317880794702,36.8387877115526,34.0757097791798,,
65,B-FIG.2,37.128476821192,36.7947142506745,32.372239747634,,
70,B-FIG.2,37.1582781456953,36.8311227618346,31.7854889589905,,
75,B-FIG.2,37.1947019867549,36.8387877115526,31.4637223974763,,
80,B-FIG.2,37.2211920529801,36.8292065244052,31.1419558359621,,
85,B-FIG.2,37.241059602649,36.8023792003924,30.9526813880126,,
90,B-FIG.2,37.2509933774834,36.7985467255334,30.7066246056782,,
95,B-FIG.2,37.2609271523178,36.7851330635271,30.4984227129337,,
100,B-FIG.2,37.2509933774834,36.7793843512386,30.4037854889589,,
105,B-FIG.2,37.241059602649,36.7602219769438,30.2523659305993,,
110,B-FIG.2,37.224503311258204,36.7525570272259,30.0252365930599,,
115,B-FIG.2,37.2145695364238,36.741059602649,29.9495268138801,,
120,B-FIG.2,37.2112582781456,36.733394652931,29.7981072555205,,
125,B-FIG.2,37.1980132450331,36.7142322786362,29.7034700315457,,
130,B-FIG.2,37.1913907284768,36.7046510914888,29.5141955835962,,
135,B-FIG.2,37.1715231788079,36.6989023792003,29.3817034700315,,
140,B-FIG.2,37.1649006622516,36.6912374294824,29.192429022082,,
145,B-FIG.2,37.1549668874172,36.6682425803286,29.1167192429022,,
150,B-FIG.2,37.1417218543046,36.6624938680402,29.0031545741324,,
155,B-FIG.2,37.1218543046357,36.6529126808928,28.8328075709779,,
160,B-FIG.2,37.1251655629139,36.6529126808928,28.794952681388,,
165,B-FIG.2,37.105298013245,36.6356665440274,28.7381703470031,,
170,B-FIG.2,37.0688741721854,36.6145879323031,28.5678233438485,,
175,B-FIG.2,37.0721854304635,36.5992580328673,28.4921135646687,,
180,B-FIG.2,37.0423841059602,36.5935093205788,28.4164037854889,,
185,B-FIG.2,36.9827814569536,36.5245247731174,29.7602523659306,,
190,B-FIG.2,36.923178807947,36.4842837870983,30.3280757097791,,
195,B-FIG.2,36.8834437086092,36.4708701250919,30.8012618296529,,
200,B-FIG.2,36.8370860927152,36.4785350748099,31.0094637223974,,
205,B-FIG.2,36.7907284768211,36.4612889379445,31.2365930599369,,
210,B-FIG.2,36.7576158940397,36.4651214128035,31.4826498422712,,
215,B-FIG.2,36.7145695364238,36.4517077507971,31.577287066246,,
220,B-FIG.2,36.6913907284768,36.467037650233,31.8138801261829,,
